New PointID,Lat [deg],Lon [deg]
142,39.45526459,-76.16987163
143,39.45531198,-76.16977282
144,39.45536092,-76.16967529
145,39.45541141,-76.16957907
146,39.45546341,-76.1694842
147,39.4555169,-76.16939073
148,39.45557187,-76.16929869
149,39.45562829,-76.16920812
150,39.45568614,-76.16911906
151,39.45574538,-76.16903155
152,39.45580601,-76.16894563
153,39.45586798,-76.16886132
154,39.45593129,-76.16877867
155,39.45599589,-76.16869771
156,39.45606176,-76.16861847
157,39.45612888,-76.16854099
158,39.45619721,-76.1684653
159,39.45626673,-76.16839143
160,39.45633741,-76.16831941
161,39.45640922,-76.16824928
162,39.45648213,-76.16818105
163,39.4565561,-76.16811477
164,39.45663112,-76.16805046
165,39.45670713,-76.16798814
166,39.45678413,-76.16792784
167,39.45686206,-76.1678696
168,39.4569409,-76.16781342
169,39.45702062,-76.16775934
170,39.45710117,-76.16770737
171,39.45718254,-76.16765755
172,39.45726468,-76.16760988
173,39.45734756,-76.1675644
174,39.45743115,-76.16752111
175,39.45751536,-76.16747988
176,39.45759969,-76.16743906
177,39.45768402,-76.16739825
178,39.45776835,-76.16735743
179,39.45785268,-76.16731662
180,39.45793701,-76.1672758
181,39.45802134,-76.16723499
182,39.45810567,-76.16719417
183,39.45819,-76.16715336
184,39.45827433,-76.16711254
185,39.45835867,-76.16707173
186,39.458443,-76.16703091
187,39.45852733,-76.16699009
188,39.45861166,-76.16694928
189,39.45869599,-76.16690846
190,39.45878032,-76.16686765
191,39.45886465,-76.16682683
192,39.45894898,-76.16678601
193,39.45903331,-76.1667452
194,39.45911764,-76.16670438
195,39.45920197,-76.16666356
196,39.4592863,-76.16662275
197,39.45937063,-76.16658193
198,39.45945496,-76.16654111
199,39.45953929,-76.1665003
200,39.45962362,-76.16645948
