Latitude,Longitude,Speed
38.5681228638,-77.3353424072,65
38.568321228,-77.3351593018,65
38.5685195923,-77.3349761963,65
38.5687103271,-77.334777832,65
38.5689048767,-77.3345794678,65
38.5690917969,-77.3343887329,65
38.5692863464,-77.3341903687,65
38.5694770813,-77.3339920044,65
38.5696716309,-77.3337860107,65
38.5698661804,-77.3335876465,65
38.5700645447,-77.3333892822,65
38.5702629089,-77.3331832886,65
38.5704650879,-77.3329772949,65
38.5706634521,-77.3327713013,65
38.5708694458,-77.3325576782,65
38.5710716248,-77.3323516846,65
38.5712776184,-77.3321380615,65
38.5714797974,-77.3319244385,65
38.5716819763,-77.3317260742,65
38.5718841553,-77.3315124512,65
38.5720825195,-77.3313064575,65
38.5722846985,-77.3311004639,65
38.5724830627,-77.3308944702,65
38.5726852417,-77.3306884766,65
38.572883606,-77.3304748535,65
38.5730819702,-77.3302688599,65
38.5732841492,-77.3300628662,65
38.5734825134,-77.329864502,65
38.5736885071,-77.3296585083,65
38.5738868713,-77.3294448853,65
38.5740966797,-77.3292388916,65
38.5742950439,-77.3290328979,65
38.5745010376,-77.3288116455,65
38.5747032166,-77.3285980225,65
38.5749092102,-77.3283920288,65
38.5751113892,-77.3281860352,65
38.5753173828,-77.3279647827,65
38.5755157471,-77.3277664185,65
38.5757141113,-77.3275527954,65
38.5759124756,-77.3273544312,65
38.5761108398,-77.3271484375,65
38.5763053894,-77.3269424438,65
38.576499939,-77.3267364502,65
38.5766983032,-77.3265380859,65
38.5768890381,-77.3263397217,65
38.5770835876,-77.3261413574,65
38.5772743225,-77.3259429932,65
38.5774765015,-77.3257369995,65
38.5776672363,-77.3255386353,65
38.5778617859,-77.3253326416,65
38.5780563354,-77.3251342773,65
38.578250885,-77.3249282837,65
38.5784454346,-77.3247299194,65
38.5786437988,-77.3245239258,65
38.5788459778,-77.3243179321,65
38.5790481567,-77.3241195679,65
38.579246521,-77.3239212036,65
38.5794487,-77.3237228394,65
38.5796546936,-77.3235244751,65
38.5798606873,-77.3233337402,65
38.5800704956,-77.3231430054,65
38.580280304,-77.3229598999,65
38.580493927,-77.3227767944,65
38.58070755,-77.3226013184,65
38.5809211731,-77.3224105835,65
38.5811386108,-77.3222351074,65
38.5813560486,-77.3220596313,65
38.581577301,-77.3218841553,65
38.5817985535,-77.3217163086,65
38.5820198059,-77.3215484619,65
38.5822410583,-77.321395874,65
38.5824623108,-77.3212432861,65
38.5826873779,-77.3210983276,65
38.5829124451,-77.3209533691,65
38.5831413269,-77.3208084106,65
38.5833702087,-77.3206787109,65
38.5835990906,-77.3205413818,65
38.5838356018,-77.3204116821,65
38.5840682983,-77.3202896118,65
38.5843086243,-77.3201599121,65
38.5845489502,-77.3200454712,65
38.5847930908,-77.3199310303,65
38.5850410461,-77.3198165894,65
38.5852890015,-77.3197097778,65
38.5855407715,-77.3196029663,65
38.5857887268,-77.3195037842,65
38.5860481262,-77.3193969727,65
38.5863037109,-77.3192901611,65
38.5865592957,-77.3191833496,65
38.5868148804,-77.3190765381,65
38.5870704651,-77.3189697266,65
38.5873298645,-77.318862915,65
38.5875854492,-77.3187484741,65
38.5878448486,-77.3186416626,65
38.5881004333,-77.3185348511,65
38.5884475708,-77.3184280396,65
38.5888023376,-77.318321228,65
38.5890617371,-77.3182144165,65
38.5893211365,-77.318107605,65
38.5895805359,-77.3180007935,65
38.5898361206,-77.3178939819,65
38.59009552,-77.3177871704,65
38.5903549194,-77.3176803589,65
38.5906105042,-77.3175735474,65
38.5908699036,-77.3174667358,65
38.5911254883,-77.3173599243,65
38.5913848877,-77.3172531128,65
38.5916404724,-77.3171463013,65
38.5918998718,-77.3170471191,65
38.5921554565,-77.3169403076,65
38.5924110413,-77.3168334961,65
